Name,Year,Rating
Furiosa: A Mad Max Saga,2024,4
Everything Everywhere All at Once,2022,5
Parasite,2019,5
Get Out,2017,5
Midsommar,2019,4
Poor Things,2023,5
The Prestige,2006,4
Trainspotting,1996,5
Eternal Sunshine of the Spotless Mind,2004,4.5
Gone Girl,2014,4
Arrival,2016,5
The Lighthouse,2019,5
Oldboy,2003,5
The Boy and the Heron,2023,4
Birdman or (The Unexpected Virtue of Ignorance),2014,4.5
The Shape of Water,2017,4
The Big Lebowski,1998,5
The Favourite,2018,5
Pan's Labyrinth,2006,4
The Green Knight,2021,4.5
Civil War,2024,3.5
Being John Malkovich,1999,4.5
The Raid,2011,4
Moon,2009,4
The Lobster,2015,4.5
Tenet,2020,4.5
The Texas Chain Saw Massacre,1974,3.5
I'm Thinking of Ending Things,2020,5
The World's End,2013,3
The Northman,2022,5
Sinners,2025,4
The Naked Gun,2025,3
KPop Demon Hunters,2025,3
Dead Poets Society,1989,5
Inglourious Basterds,2009,5
28 Years Later,2025,3.5
10 Things I Hate About You,1999,5
The Batman,2022,4
The Twilight Saga: New Moon,2009,3
The Twilight Saga: Breaking Dawn – Part 1,2011,3
The Twilight Saga: Breaking Dawn – Part 2,2012,3
The Twilight Saga: Eclipse,2010,3
The Whale,2022,4
The Wrestler,2008,4
(500) Days of Summer,2009,4.5
Knives Out,2019,4
Glass Onion,2022,4
Star Wars: The Last Jedi,2017,3.5
Treasure Planet,2002,4.5
The Interview,2014,2.5
The Dark Knight Rises,2012,4
Brick,2005,4.5
The Killer,2023,3.5
The Game,1997,3
Panic Room,2002,3.5
Slumdog Millionaire,2008,4
The Beach,2000,4
Moneyball,2011,4.5
The Departed,2006,5
The Wolf of Wall Street,2013,5
Shutter Island,2010,5
Gangs of New York,2002,5
Pulp Fiction,1994,5
Once Upon a Time... in Hollywood,2019,4.5
Reservoir Dogs,1992,4
Kill Bill: Vol. 2,2004,5
The Hateful Eight,2015,4
Jackie Brown,1997,4
Death Proof,2007,4.5
Grindhouse,2007,4
Kill Bill: The Whole Bloody Affair,2004,5
Four Rooms,1995,3.5
The Great Gatsby,2013,4
Romeo + Juliet,1996,5
Moulin Rouge!,2001,5
Catch Me If You Can,2002,4
Don't Look Up,2021,3
Blood Diamond,2006,4
The Devil Wears Prada,2006,4
No Country for Old Men,2007,4.5
Coraline,2009,4
The Naked Gun: From the Files of Police Squad!,1988,4.5
Nosferatu,2024,4
Forrest Gump,1994,3.5
The Suicide Squad,2021,4
Guardians of the Galaxy Vol. 3,2023,4
Guardians of the Galaxy Vol. 2,2017,4
American Psycho,2000,4.5
The Grand Budapest Hotel,2014,4
Barbie,2023,3.5
Batman Begins,2005,4
Scott Pilgrim vs. the World,2010,5
Baby Driver,2017,5
Ballerina,2025,2.5
Spider-Man: Across the Spider-Verse,2023,4
